disease_name,url,title,question,answer
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Overview (Melanocytic nevi),Close
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Facial mole (Melanocytic nevi),"Moles can be brown, tan, black, blue, red or pink. They're often less than 1/4 inch (about 6 mm) in diameter — the size of a pencil eraser.
Close"
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Moles (Melanocytic nevi),"Moles are usually harmless. They may contain hairs or become raised or wrinkled. Talk to your doctor about any change in the color or size of a mole or if itching, pain, bleeding or inflammation develops.
Moles, also known as nevi, are a common type of skin growth. They often appear as small, dark brown spots that are caused by clusters of pigment-forming cells called melanocytes. Most people have 10 to 45 moles that appear during childhood and the teenage years. How these moles look may change over time. They also may fade over time.
Most moles are harmless. Rarely, they become cancerous. Being aware of changes in your moles and other pigmented patches is important to finding skin cancer, especially malignant melanoma."
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Products & Services (Melanocytic nevi),Show more products from Mayo Clinic
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Symptoms (Melanocytic nevi),"The typical mole is a small brown spot. But moles come in different colors, shapes and sizes:
* **Color and texture.** Moles can be brown, tan, black, blue, red or pink. They can be smooth, wrinkled, flat or raised. They may have hair growing from them.
* **Shape.** Most moles are oval or round.
* **Size.** Moles are typically less than 1/4 inch (about 6 mm) in diameter — the size of a pencil eraser. Those present at birth, known as congenital nevi, can be bigger and cover part of the face, trunk or a limb.

Moles can grow anywhere on your body, including your scalp and armpits, as well as under your nails and between your fingers and toes. Most people have 10 to 45 moles. Many of these moles occur by age 40. Moles may change or fade away over time. They may become darker and larger with hormonal changes that occur during the teenage years and while pregnant.
Clusters of brown spots around the eyes, cheeks and nose are dermatoses papulosa nigra — a type of seborrheic keratosis that is noncancerous and appears as waxy brown, black or tan growths. They aren't clusters of pigment-forming cells, known as nevi. Dermatoses papulosa nigra are more common among Black women. These lesions don't carry a risk of melanoma, but they can be treated as a cosmetic concern."
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Unusual moles that may indicate melanoma (Melanocytic nevi),"A mole may be a sign of skin cancer if it has irregular borders or an asymmetrical shape, or if it changes in color, shape, size or height. This ABCDE guide can help you remember what to watch for:
* **A is for asymmetrical shape.** One half is unlike the other half.
* **B is for border.** Look for moles with irregular, notched or scalloped borders.
* **C is for changes in color.** Look for growths that have changed color, have many colors or have uneven color.
* **D is for diameter.** Look for new growth in a mole larger than 1/4 inch (about 6 mm).
* **E is for evolving.** Watch for moles that change in size, shape, color or height. Also, new symptoms can arise, such as itchiness or bleeding.

Cancerous moles, also known as malignant moles, vary greatly in how they look. Some may show all of the changes listed above. Others may have only one or two unusual traits."
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),When to see a doctor (Melanocytic nevi),"Make an appointment with your healthcare professional if a mole looks unusual, grows or otherwise changes.
There is a problem with information submitted for this request. Review/update the information highlighted below and resubmit the form."
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),From Mayo Clinic to your inbox (Melanocytic nevi),"Email
Address 1
ErrorEmail field is required
ErrorInclude a valid email address
Learn more about Mayo Clinic’s use of data.
Subscribe!"
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Thank you for subscribing! (Melanocytic nevi),You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox.
Melanocytic nevi,https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200,[Moles](https://www.mayoclinic.org/diseases-conditions/moles/symptoms-causes/syc-20375200),Sorry something went wrong with your subscription (Melanocytic nevi),"Please, try again in a couple of minutes
Retry"
